time,open,high,low,close,volume
2026-04-07 14:21:00,4617.53098,4626.24662,4617.53098,4626.24662,2444.60837248448
2026-04-07 14:22:00,4626.95535,4635.08549,4626.20281,4631.28364,2385.32287473615
2026-04-07 14:23:00,4631.90756,4638.80254,4630.82067,4634.79639,1901.4616146009816
2026-04-07 14:24:00,4634.1846,4641.83132,4634.1846,4641.83132,1821.6213190146595
2026-04-07 14:25:00,4641.4857,4643.88702,4641.4857,4643.88702,572.0486307561684
2026-04-07 14:26:00,4643.49327,4645.91734,4643.49327,4645.91734,577.4681943086117
2026-04-07 14:27:00,4645.92259,4645.97545,4643.60527,4644.29079,636.4795952619564
2026-04-07 14:28:00,4643.99425,4644.29951,4641.52988,4641.52988,743.7464586762662
2026-04-07 14:29:00,4641.28577,4643.43103,4641.28577,4643.43103,576.0803890553873
2026-04-07 14:30:00,4643.72247,4648.81493,4643.38782,4647.23217,1457.3765605321278
2026-04-07 14:31:00,4646.68528,4647.20919,4644.28535,4644.28535,820.093962555153
2026-04-07 14:32:00,4644.14509,4645.58238,4644.14509,4645.58238,429.98776412579474
2026-04-07 14:33:00,4646.14627,4652.66293,4645.54492,4649.75779,2129.463925112839
2026-04-07 14:34:00,4650.41929,4657.89783,4649.64895,4653.86368,2467.7813577930715
2026-04-07 14:35:00,4653.85456,4654.04173,4653.76024,4654.04173,250.0
2026-04-07 14:36:00,4654.05252,4654.56868,4653.97682,4654.56868,250.0
2026-04-07 14:37:00,4653.85648,4658.24296,4653.85648,4658.24296,1451.1001979907603
2026-04-07 14:38:00,4658.22459,4658.50051,4658.09577,4658.43638,250.0
2026-04-07 14:39:00,4658.22834,4658.45244,4656.22177,4656.22177,737.9323919526621
2026-04-07 14:40:00,4656.52838,4656.52838,4653.3698,4654.88108,1044.8961498444155
2026-04-07 14:41:00,4654.67894,4654.85876,4653.83301,4653.83301,360.3250741638838
2026-04-07 14:42:00,4653.79266,4653.92058,4652.96907,4653.29182,334.2460748893016
2026-04-07 14:43:00,4653.4514,4653.4514,4650.95308,4651.79555,877.6089098563872
2026-04-07 14:44:00,4651.49741,4651.81188,4650.66075,4650.66075,404.3685134023171
2026-04-07 14:45:00,4650.49014,4650.68041,4648.13734,4648.13734,893.3286730236746
2026-04-07 14:46:00,4648.3233,4649.93613,4648.11331,4649.10441,686.2122837730318
2026-04-07 14:47:00,4649.01462,4649.41305,4649.00046,4649.41305,250.0
2026-04-07 14:48:00,4649.42571,4649.48085,4649.38233,4649.48085,250.0
2026-04-07 14:49:00,4649.76723,4653.62947,4649.33217,4651.45008,1746.0217495974189
2026-04-07 14:50:00,4650.83805,4651.41933,4648.03494,4648.03494,1375.1003069648514
2026-04-07 14:51:00,4647.46512,4648.1361,4644.28442,4644.28442,1564.963361293996
2026-04-07 14:52:00,4644.38639,4644.89758,4643.20935,4643.58041,699.7278976413343
2026-04-07 14:53:00,4643.54964,4646.08723,4643.54964,4646.08723,1051.7657640107534
2026-04-07 14:54:00,4646.13756,4646.13756,4641.97781,4642.67987,1724.1093466019654
2026-04-07 14:55:00,4643.07962,4643.07962,4637.57203,4640.0502,2237.770676439889
2026-04-07 14:56:00,4640.0819,4640.15591,4638.00895,4638.53582,881.9800759988573
2026-04-07 14:57:00,4638.21152,4639.70667,4638.21152,4639.70667,632.3337541419465
2026-04-07 14:58:00,4639.68572,4639.98647,4639.51007,4639.91478,250.0
2026-04-07 14:59:00,4640.74758,4640.74758,4628.61156,4633.7147,4000.0
2026-04-07 15:00:00,4633.48585,4633.9203,4632.17759,4632.17759,796.1888053579456
2026-04-07 15:01:00,4631.92894,4633.19153,4631.92894,4633.19153,636.1007410990835
2026-04-07 15:02:00,4633.08338,4634.40202,4633.08338,4634.40202,664.3390817628665
2026-04-07 15:03:00,4634.71823,4634.71823,4629.97376,4632.25241,2390.293668666839
2026-04-07 15:04:00,4632.21201,4632.98397,4632.21201,4632.89302,433.0127638808633
2026-04-07 15:05:00,4631.93586,4632.87246,4627.42107,4627.42107,2746.4443873457853
2026-04-07 15:06:00,4627.37039,4627.56525,4627.37039,4627.56525,250.0
2026-04-07 15:07:00,4627.38292,4629.65359,4627.38292,4629.65359,1143.9777519155614
2026-04-07 15:08:00,4629.76709,4632.02457,4629.62961,4630.90295,1094.1810979912204
2026-04-07 15:09:00,4631.03904,4631.03904,4627.84352,4628.9563,1446.7123774509705
2026-04-07 15:10:00,4628.47296,4633.88218,4628.47296,4633.88218,2448.9239705451346
2026-04-07 15:11:00,4634.49941,4641.92136,4633.70557,4638.19345,3521.835207678732
2026-04-07 15:12:00,4638.36303,4641.87067,4638.0038,4640.52472,1580.4818036165398
2026-04-07 15:13:00,4640.32455,4641.87278,4640.32455,4641.87278,663.6745734229177
2026-04-07 15:14:00,4641.80799,4641.84727,4641.59265,4641.59265,250.0
2026-04-07 15:15:00,4641.65029,4643.66341,4641.58826,4642.81041,939.485651808642
2026-04-07 15:16:00,4643.27897,4650.1797,4642.74107,4647.73852,3188.692631006072
2026-04-07 15:17:00,4647.9604,4647.9604,4645.41512,4646.61466,1032.0341405563104
2026-04-07 15:18:00,4646.63384,4646.8887,4646.5982,4646.8664,250.0
